date,compound,neg,neu,pos
2015-01-14,0.34,0.0,0.87,0.13
2015-03-16,0.0,0.0,1.0,0.0
2015-03-17,0.0683,0.0,0.97725,0.02275
2015-03-18,0.0,0.0,1.0,0.0
2015-03-30,0.4588,0.0,0.824,0.176
2015-04-02,0.6124,0.0,0.643,0.357
2015-04-07,0.0,0.0,1.0,0.0
2015-04-09,0.0,0.0,1.0,0.0
2015-04-10,0.6369,0.0,0.625,0.375
2015-04-20,0.0,0.0,1.0,0.0
2015-04-21,0.0,0.0,1.0,0.0
2015-04-28,0.0,0.0,1.0,0.0
2015-04-29,0.0,0.0,1.0,0.0
2015-04-30,0.0,0.0,1.0,0.0
2015-05-08,0.8442,0.0,0.698,0.302
2016-01-05,0.4588,0.0,0.727,0.273
2016-01-11,0.872,0.0,0.447,0.553
2016-01-12,0.0,0.0,1.0,0.0
2016-01-14,0.0,0.0,1.0,0.0
2016-01-21,0.3182,0.0,0.753,0.247
2016-01-27,-0.2732,0.16,0.84,0.0
2016-01-31,0.16885,0.096,0.6815,0.222
2016-02-01,0.40873333333333334,0.064,0.5743333333333334,0.36133333333333334
2016-02-02,0.15305,0.096,0.6775,0.22599999999999998
2016-02-03,0.6124,0.0,0.615,0.385
2016-02-05,0.148,0.0,0.9455,0.0545
2016-02-08,-0.3243333333333333,0.25499999999999995,0.6983333333333333,0.04633333333333334
2016-02-09,-0.1779,0.203,0.65,0.146
2016-02-10,-0.5267,0.459,0.541,0.0
2016-02-16,0.0,0.0,1.0,0.0
2016-02-22,0.44035,0.0,0.7975,0.2025
2016-02-26,0.0,0.0,1.0,0.0
2016-03-02,0.0,0.0,1.0,0.0
2016-03-03,0.0,0.0,1.0,0.0
2016-03-10,0.0,0.0,1.0,0.0
2016-03-14,0.41695000000000004,0.029,0.841,0.1305
2016-03-15,-0.1027,0.192,0.629,0.178
2016-03-16,0.1591,0.041,0.868,0.091
2016-03-17,0.15868888888888888,0.0,0.8697777777777778,0.13022222222222224
2016-03-18,0.04046,0.0,0.9718,0.028199999999999996
2016-03-22,0.2202,0.0,0.909,0.091
2016-03-23,0.11752000000000003,0.0448,0.8132000000000001,0.142
2016-03-28,0.09585000000000005,0.2025,0.6475,0.15
2016-03-29,0.21869999999999998,0.0,0.8716666666666667,0.12833333333333333
2016-03-30,0.0,0.0,1.0,0.0
2016-03-31,0.0,0.1,0.8,0.1
2016-04-01,0.185475,0.0,0.9205,0.0795
2016-04-04,0.0,0.0,1.0,0.0
2016-04-05,0.6808,0.0,0.699,0.301
2016-04-07,0.6486,0.0,0.751,0.249
2016-04-08,0.0,0.0,1.0,0.0
