date,compound,neg,neu,pos
2014-11-13,-0.1027,0.219,0.781,0.0
2014-11-18,0.0,0.0,1.0,0.0
2014-11-19,0.4588,0.0,0.571,0.429
2014-11-21,0.08895,0.0,0.8895,0.1105
2014-11-24,0.0,0.0,1.0,0.0
2014-11-25,0.0,0.0,1.0,0.0
2014-11-26,0.0,0.0,1.0,0.0
2014-11-29,0.34,0.0,0.745,0.255
2014-12-02,0.4588,0.0,0.667,0.333
2014-12-03,-0.2294,0.1875,0.8125,0.0
2014-12-08,0.0,0.0,1.0,0.0
2014-12-11,-0.128,0.2,0.8,0.0
2014-12-15,0.5859,0.207,0.267,0.527
2014-12-16,-0.3182,0.256,0.598,0.145
2014-12-17,0.0791,0.12266666666666666,0.7623333333333333,0.11499999999999999
2014-12-22,0.2023,0.0,0.847,0.153
2014-12-30,0.0,0.0,1.0,0.0
2014-12-31,0.0,0.0,1.0,0.0
2015-01-02,0.765,0.0,0.431,0.569
2015-01-05,0.0,0.0,1.0,0.0
2015-01-07,0.0,0.0,1.0,0.0
2015-01-09,0.0,0.0,1.0,0.0
2015-01-12,0.0,0.0,1.0,0.0
2015-01-14,0.0,0.0,1.0,0.0
2015-01-16,0.0,0.0,1.0,0.0
2015-01-19,0.0,0.0,1.0,0.0
2015-01-20,0.044333333333333336,0.153,0.6556666666666666,0.19133333333333333
2015-01-21,-0.08834999999999997,0.21450000000000002,0.64825,0.13724999999999998
2015-01-28,-0.4215,0.286,0.714,0.0
2015-01-30,0.0,0.0,1.0,0.0
2015-02-02,-0.24080000000000001,0.25666666666666665,0.7433333333333333,0.0
2015-02-03,0.2732,0.0,0.741,0.259
2015-02-04,0.4588,0.0,0.667,0.333
2015-02-05,0.34,0.0,0.714,0.286
2015-02-06,0.0,0.0,1.0,0.0
2015-02-09,0.34,0.0,0.556,0.444
2015-02-18,0.0,0.0,1.0,0.0
2015-02-24,0.0703,0.1115,0.7010000000000001,0.1875
2015-02-26,-0.03864000000000001,0.0752,0.8914,0.0334
2015-03-01,0.0,0.0,1.0,0.0
2015-03-04,-0.064,0.1155,0.8845000000000001,0.0
2015-03-06,-0.1431,0.115,0.885,0.0
2015-03-08,-0.128,0.231,0.769,0.0
2015-03-09,-0.296,0.239,0.761,0.0
2015-03-11,-0.2787,0.17,0.8300000000000001,0.0
2015-03-12,0.4588,0.0,0.7,0.3
2015-03-14,0.4939,0.0,0.686,0.314
2015-03-16,0.2023,0.0,0.735,0.265
2015-03-19,0.0,0.0,1.0,0.0
2015-03-20,0.4588,0.0,0.7,0.3
2015-03-23,0.6369,0.0,0.574,0.426
2015-03-24,0.0,0.0,1.0,0.0
2015-03-25,0.0,0.0,1.0,0.0
2015-03-26,0.0,0.0,1.0,0.0
2015-03-27,0.6908,0.0,0.551,0.449
2015-03-30,0.10115,0.0,0.845,0.155
2015-04-02,0.1591,0.0,0.9195,0.0805
2015-04-06,0.4019,0.0,0.597,0.403
2015-04-08,0.7096,0.0,0.543,0.457
2015-04-09,0.07945,0.057,0.8240000000000001,0.119
2015-04-10,0.0,0.0,1.0,0.0
2015-04-13,0.4588,0.0,0.727,0.273
2015-04-14,0.0,0.0,1.0,0.0
